round,time_start,time_end,lightweight_accuracy,heavyweight_accuracy,global_lightweight_accuracy,global_heavyweight_accuracy,lightweight_precision,heavyweight_precision,lightweight_recall,heavyweight_recall,lightweight_f1,heavyweight_f1,transfer_accuracy_light_to_heavy,transfer_accuracy_heavy_to_light,num_lightweight_samples,num_heavyweight_samples
32,155,160,0.6869444444444444,0.7952777777777778,0.6008333333333333,0.6141666666666666,0.6860985901991589,0.8402350430552025,0.8355359765051394,0.7934410181106216,0.752587114668762,0.8156070282383093,0.965,0.965,30,30
33,160,165,0.6897222222222222,0.7916666666666666,0.6016666666666667,0.61,0.6885908508800457,0.8442687585544729,0.8360254527655409,0.7797356828193833,0.7543190799639833,0.8102207737582137,0.9833333333333333,0.9833333333333333,30,30
34,165,170,0.6930555555555555,0.8011111111111111,0.5966666666666667,0.6083333333333333,0.6900950834857414,0.8896098954243156,0.8409202153695546,0.7415565345080765,0.7572775072029915,0.8071276788693348,0.9733333333333334,0.9733333333333334,30,30
35,170,175,0.6916666666666665,0.7994444444444445,0.5933333333333334,0.6041666666666666,0.6917676317007927,0.8943097269662089,0.8316201664219286,0.733235438081253,0.7544188674822735,0.8035149905306017,0.9808333333333333,0.9808333333333333,30,30
36,175,180,0.6947222222222221,0.7975,0.5908333333333333,0.5991666666666666,0.6944159429298665,0.896703144498011,0.8330885952031326,0.7268722466960352,0.7566511138173994,0.8005803308446683,0.985,0.985,30,30
37,180,185,0.6986111111111111,0.795,0.5916666666666667,0.5991666666666666,0.6982456937602972,0.8970935639975873,0.8340675477239353,0.7214880078316203,0.7593127190354014,0.7973121072183315,0.9825,0.9825,30,30
38,185,190,0.7027777777777778,0.7930555555555556,0.5925,0.5933333333333334,0.703521553419154,0.8988645842878881,0.8316201664219284,0.7161037689672051,0.761380265380111,0.7946982467683695,0.9841666666666666,0.9841666666666666,30,30
39,190,195,0.7038888888888889,0.7916666666666666,0.5891666666666666,0.5908333333333333,0.7060075840742672,0.898022613792104,0.8277043563387175,0.7141458639255996,0.7611972175209255,0.7930696638347805,0.985,0.985,30,30
40,195,200,0.7075,0.7947222222222222,0.5891666666666666,0.5933333333333334,0.7098489146152948,0.8987547204568482,0.8277043563387175,0.7195301027900148,0.7634411560941814,0.7968457195842701,0.9891666666666666,0.9891666666666666,30,30
41,200,205,0.71,0.7958333333333334,0.5925,0.5891666666666666,0.7119924979482244,0.8986723758936757,0.8291727851199218,0.7219774840920216,0.7653432246002483,0.7981711227591388,0.9816666666666667,0.9816666666666667,30,30
42,205,210,0.7144444444444443,0.793888888888889,0.5966666666666667,0.59,0.7168468928401937,0.8981015467155148,0.8291727851199217,0.7185511502692119,0.7681317375606828,0.7959297606969807,0.98,0.98,30,30
43,210,215,0.7158333333333333,0.7947222222222222,0.5925,0.5983333333333334,0.7185024160832354,0.8978929577395434,0.8286833088595204,0.7205090553108174,0.7688785079319144,0.7970081565534256,0.9858333333333333,0.9858333333333333,30,30
44,215,220,0.7188888888888888,0.7944444444444444,0.5958333333333333,0.5966666666666667,0.7221182254435902,0.8974344166112936,0.8281938325991188,0.7205090553108174,0.7707106127447534,0.7968329809306138,0.9891666666666666,0.9891666666666666,30,30
45,220,225,0.7213888888888889,0.7983333333333333,0.595,0.5975,0.7248794432189051,0.897241324832139,0.8286833088595204,0.7283406754772394,0.7724338903267793,0.8017041944393033,0.9908333333333333,0.9908333333333333,30,30
46,225,230,0.7227777777777776,0.7991666666666667,0.5975,0.5991666666666666,0.7267559095998694,0.8954097973528777,0.828193832599119,0.7317670093000489,0.7732636105357242,0.8031562351579576,0.9883333333333333,0.9883333333333333,30,30
47,230,235,0.726111111111111,0.7980555555555555,0.5966666666666667,0.6016666666666667,0.730516720385089,0.8942831389249601,0.8286833088595204,0.7307880567792462,0.7755150112190504,0.8021093925445227,0.9816666666666667,0.9816666666666667,30,30
48,235,240,0.7275,0.7975,0.5966666666666667,0.6041666666666666,0.7324724625487553,0.8924079944207032,0.8281938325991188,0.7317670093000489,0.7763224725409191,0.8018931342656964,0.9841666666666666,0.9841666666666666,30,30
49,240,245,0.7288888888888888,0.7988888888888889,0.5983333333333334,0.6058333333333333,0.7353834916811633,0.8939545806762164,0.8252569750367108,0.7327459618208517,0.7766031955010151,0.8032699882911983,0.9858333333333333,0.9858333333333333,30,30
